Norm,Environment,Context,Label
مصرف میوه های سنتی برای شب چله,شب یلدا,جمع خانوادگی برای شب یلدا,Expected
بیان آزادانه عقاید سیاسی در فضای آنلاین,فضای مجازی,یک روزنامه نگار در حال انتشار مقالات سیاسی در وبلاگ شخصی خود,Normal
ربا و گرفتن بهره توسط بانک ها از وام گیرندگان,بانک,کارمندان بانک در حال دریافت بهره از وام گیرندگان,Normal
رعایت حجاب برای بانوان در اماکن عمومی,خیابان شهر,یک زن در حال گردش در اماکن عمومی,Expected
رعایت نظم و انضباط در محیط کار,جلسه اداری,کارمندان در جلسه کاری,Expected
گردش در طبیعت در سیزده بدر,سیزده بدر ,خانواده ها در حال پیک نیک در روز سیزده بدر,Normal
دلجویی و ابراز همدردی,روابط بین فردی,افراد در مصائب با یکدیگر ابراز همدردی می‌کنند,Normal
انجام کارهای خیر و عام المنفعه,مراسم عزاداری,شرکت در مراسم عزاداری محلی,Expected
آواز خواندن و موسیقی گوش دادن,کوهستان,در یک منطقه کوهستانی و دور از شلوغی شهر,Normal
دید و بازدید اقوام و دوستان در روز عید,منازل آشنایان و دوستان,رفت و آمد اعضای خانواده به منزل اقوام و دوستان در روزهای اول عید,Expected
رعایت نوبت و صبر در صف‌های انتظار,بیمارستان,بیماران در حال رعایت نوبت و صبر در صف مطب پزشکان,Expected
عدم رعایت حجاب برای زنان در اماکن عمومی,خیابان شهر,برای زنان مسلمان در خیابان های شهر,Taboo
آلودگی آب‌ها در این روز,جشن تیرگان,گروهی در حال ریختن زباله و آلودگی رودخانه در جشن تیرگان,Taboo
برگزاری نماز جمعه در محل کار,اداره دولتی,کارمندان در حال برگزاری نماز جمعه در محل کار دولتی,Expected
احترام به عقاید و باورهای دیگران,مراسم مذهبی,گروه های مختلف مذهبی در کنار هم,Normal
بازی و سرگرمی با حیوانات خانگی,پارک,در پارک و در حضور دیگران اما بدون آزار حیوان,Normal
پوشیدن لباس های کثیف و ژولیده,اداره دولتی,یک کارمند با لباس آشفته در محل کارش,Taboo
استفاده از کلمات رکیک و زشت,محل کار,کارمندان در محیط کار,Taboo
گرامیداشت روز معلم و تجلیل از مقام معلمان,مدرسه,برگزاری مراسم روز معلم در مدرسه,Expected
تعارف کردن غذا و نوشیدنی به مهمانان,منزل میزبان,یک میزبان در حضور مهمانان,Expected
پرهیز از ایجاد مزاحمت برای دیگران,فضای مجازی,فردی در حال انتشار محتوای نامناسب در فضای مجازی,Expected
احترام به پیران و سالمندان,سرای سالمندان,پرستاران با ادب و احترام با سالمندان رفتار می‌کنند,Expected
مرور خاطرات سال گذشته در شب عید,خانه,اعضای خانواده که دور هم جمع شده و در مورد اتفاقات سال گذشته صحبت می‌کنند,Normal
حفظ حریم خصوصی افراد در فضای مجازی,فضای مجازی,کاربران در حال فعالیت در شبکه های اجتماعی,Expected
ارائه خدمات پرستاری به بیماران اعم از زن و مرد,بیمارستان,پرستاران زن در حال ارائه خدمات به بیماران مرد,Normal
اجتناب از فریاد زدن و بلند صحبت کردن,بیمارستان,در محیط آرام و ساکت یک بیمارستان,Expected
ترک تحصیل برای ازدواج زودهنگام,روستا,یک دختر نوجوان در حال ترک تحصیل برای ازدواج,Normal
اجتناب از استعمال دخانیات در اماکن عمومی,فرودگاه,مسافران در سالن انتظار فرودگاه,Expected
احترام گذاشتن به سنت های محلی,روستا,روستائیان در حال برگزاری جشن های محلی,Expected
حفظ حریم خصوصی افراد در فضای مجازی,فضای مجازی,کاربران در حال فعالیت در شبکه های اجتماعی,Expected
قبول ازدواج مجدد زنان پس از فوت همسر,خانه,یک زن بیوه در حال ازدواج مجدد پس از فوت همسرش,Expected
لزوم حجاب کامل برای زنان در اماکن عمومی,دانشگاه,بانوان محجبه در حال رفت و آمد در دانشگاه,Expected
ناامیدی و خودکشی به دلیل فقر,مناطق محروم,فرد فقیری در حال اقدام به خودکشی به دلیل فقر,Taboo
نادیده گرفتن اهمیت شب یلدا در فضای مجازی,شب یلدا,کاربری در حال انتشار پیام های بی احترامی در مورد جشن یلدا,Taboo
به کار گرفتن کودکان برای کارهای سخت در ایام نوروز,محل کار,کارفرمایی که از کودکان برای کارهای سخت بهره می‌برد,Taboo
تقدیم هدیه به میزبان در مراسم مهمانی,مهمانی خانوادگی,میهمانان در حال ورود به مهمانی,Expected
حفظ میراث فرهنگی در معماری سنتی,بازار سنتی,بازدیدکنندگان در حال گشت و گذار در یک بازار سنتی,Expected
گرامیداشت سنت‌ها و آیین‌های باستانی ایرانی,محل برگزاری جشن,گروهی در حال گفتگو در مورد تاریخچه جشن سده,Expected
مزاحمت و آزار جنسی برای زنان در خیابان,خیابان شهر,مرد جوانی در حال مزاحمت برای زنان در خیابان,Taboo
حفظ حریم خصوصی دیگران,فضای مجازی,افراد در فضای مجازی ,Expected
استفاده از کلمات رکیک در محیط کار,جلسه اداری,جلسه هفتگی کارمندان,Taboo
نگه داشتن فاصله مناسب با افراد غریبه,بازار سنتی,بین زنان و مردان غیرآشنا در یک بازار شلوغ,Normal
پرهیز از رفتارهای خشن و توهین آمیز,ورزشگاه,تماشاگران در استادیوم ورزشی,Normal
همزیستی و تساهل با فرهنگ ها و اقوام مختلف,شهر چندملیتی,زندگی در شهرهای چند ملیتی و چندفرهنگی,Normal
دست دادن و روبوسی با جنس مخالف,آپارتمان,میهمانان ناآشنا هنگام ورود به خانه,Taboo
احترام به میراث فرهنگی,بناهای تاریخی,بازدیدکنندگان از آسیب به بناها خودداری می کنند,Expected
پرهیز از مزاحمت برای دیگران,حمل و نقل عمومی,مسافران از ایجاد سروصدا خودداری می کنند,Expected
رعایت شئون اسلامی در پوشش,مسجد,نمازگزاران در حال اقامه نماز جماعت,Expected
نوشیدن آب و پرهیز از آشامیدنی های الکلی,مهمانی,حضور در یک مهمانی دوستانه,Expected
راهنمایی گردشگران در صورت نیاز,کویر,توریست های خارجی در حال گشت و گذار,Normal
پرهیز از بلند گفتن در بیمارستان,بیمارستان,بیماران و همراهان در محوطه بیمارستان,Expected
آشپزی غذاهای ویژه و سنتی برای نوروز,آشپزخانه خانه,زنی که در حال پخت غذاهای نوروزی مانند کوکو سبزی است,Expected
آتش بازی,چهارشنبه سوری,اجرای سنت آتش بازی در این شب,Expected
معرفی غذاها و آشپزی سنتی ایرانی به گردشگران,رستوران سنتی,پذیرایی از مهمانان در رستوران های سنتی,Normal
عدم التزام به دستورالعمل های بهداشتی در دوران همه گیری,بیمارستان,بیماران و همراهان در حال عدم رعایت پروتکل های بهداشتی,Taboo
رعایت شئونات اسلامی در لباس پوشیدن,دادگاه,یک وکیل در حال دفاع از موکل خود,Expected
آزار و اذیت دیگران در فضای مجازی,فضای مجازی,یک کاربر در حال ارسال پیام های توهین آمیز در فضای مجازی,Taboo
دریافت شیرینی و هدیه از میزبان,جشن تولد,مهمانی تولد دوست,Expected
انتقاد از سبک زندگی سنتی,مجلس عروسی,یک میهمان جوان در حال انتقاد از سنت های قدیمی در عروسی,Normal
صحبت بلند در مکان های عمومی,بیمارستان,گروهی در حال صحبت و خندیدن بلند در راهرو بیمارستان,Taboo
انتظار احترام و تکریم از سوی جوانترها,مراسم خانوادگی,بزرگترهای خانواده در یک مراسم خانوادگی,Expected
اجرای رقص‌های محلی و آیینی در کنار آتش,محل برگزاری جشن,گروهی از رقصندگان محلی در حال اجرای رقص سنتی,Normal
انجام امور خیریه و کمک به نیازمندان,گروه های خیریه و مراکز نیکوکاری,داوطلبان و خیرین در حال کمک به محرومان,Expected
رعایت حریم خصوصی دیگران,پارک,در یک پارک عمومی در حضور افراد ناشناس,Expected
اجتناب از رفتارهای زننده در برابر دیگران,باشگاه ورزشی,افرادی در حال تمرین در باشگاه ورزشی,Expected
آب‌پاشی و شادی در کنار آب,جشن تیرگان,گروهی از جوانان در حال آب‌بازی و آب‌پاشی به یکدیگر,Expected
حرمت نهادن به جایگاه و منزلت هنرمندان,نمایشگاه هنری,بازدیدکنندگان در حال قدردانی و تکریم از هنرمندان,Expected
حفظ محرمیت خانوادگی,مهمانی خانوادگی,اعضای خانواده از افشای اسرار خانوادگی خودداری می کنند,Expected
رعایت ادب و متانت در برخورد با دیگران,مدرسه,دانش آموزان در محیط مدرسه,Expected
حضور و ازدواج بهائیان با مسلمانان,منزل,یک زوج بهایی-مسلمان در حال زندگی مشترک,Taboo
آواز خواندن و شادی در ساحل,ساحل,گروهی از دوستان در حال آواز خواندن و شادی کردن در ساحل,Normal
سلام و احوالپرسی صمیمانه با همسایگان,چادرنشینی,زندگی سنتی و چادرنشینی در میان عشایر,Expected
تماشای فیلم‌های خارجی در سینما,سینما,گروهی از دوستان در حال تماشای یک فیلم خارجی در سینما,Normal
شرکت در کارهای خیر و عام المنفعه,مراسم روضه خوانی,حضور در مراسم روضه برای گرامیداشت ائمه,Expected
اصرار بر پذیرش تعارف از سوی میهمان,خانه مادربزرگ,میزبان در حال تعارف میهمان,Expected
گرامیداشت سالروز شهادت امام,حسینیه,گروهی در حال برگزاری مراسم عزاداری برای امام حسین (ع),Expected
شب نشینی,شب یلدا,اعضای خانواده در شب یلدا دور هم جمع شده اند,Expected
اختصاص وقت به فرزندان,خانه,پدر و مادر وقت کافی برای بازی با فرزندان می گذارند,Normal
جوانمردی و ایثار,میدان جنگ,رزمندگان از هموطنان دفاع می کنند,Expected
احترام به بزرگساالن و سالخوردگان,پارک,جوانان جای ویژه برای سالمندان رعایت می کنند,Expected
نشر اطلاعات شخصی افراد دیگر بدون رضایت آنها,فضای مجازی,انتشار عکس یا اطلاعات خصوصی یک فرد در شبکه های اجتماعی,Taboo
استفاده از کولر گازی در کویر,کویر,گروهی از گردشگران در حال استفاده از کولر گازی برای خنک شدن در کویر,Expected
اهمیت بخشیدن به تربیت و آموزش کودکان,مدرسه,دانش آموزان و معلمان در مدرسه,Expected
پرسه زدن در خیابان‌های شهر بدون هدف,خیابان شهر,گروهی از جوانان در حال پرسه زدن و بیهوده گردی در خیابان‌های شهر,Normal
تحویل گرفتن کالای خریداری شده بدون پرداخت بهای آن,بازار,خرید از یک مغازه سنتی,Taboo
جدایی اموال زن و شوهر پس از طلاق,دادگاه,یک زوج در حال تقسیم اموال پس از طلاق در دادگاه,Normal
رفتن به طبیعت در روز سیزده بدر,سیزده بدر,خانواده‌ای در پارک در حال پیک نیک,Expected
مصرف مشروبات الکلی در ایام محرم,پارک,گروهی از جوانان در حال نوشیدن نوشیدنی های الکلی,Taboo
تماشای فیلم‌های مبتذل در سینما,سینما,گروهی از دوستان در حال تماشای یک فیلم مبتذل در سینما,Taboo
عدم ورود بدون اجازه به حریم خصوصی دیگران,خانواده,یک فرد در حال ورود به اتاق خواب خانواده,Taboo
حمایت از محصولات تولید داخل,بازار,خرید از مغازه های عرضه کننده کالای ایرانی,Normal
نشستن جداگانه زنان و مردان در اماکن عمومی,مترو/اتوبوس,برای زنان و مردان غیرخانواده در وسایل حمل و نقل عمومی,Normal
انتظار می رود زنان از مردان فرمانبرداری کنند,منزل,یک زن و شوهر در حال بحث در خانه,Expected
اظهار تاسف برای شهدای کربلا,دانشگاه,یک استاد در حال سخنرانی در مورد واقعه عاشورا,Expected
جلوگیری از ایجاد سر و صدا در موزه ها,موزه,بازدیدکنندگان در حال گشت در موزه,Expected
نگهداری روزه,رمضان,یک مرد میانسال در محل کار خود,Expected
تمایل به گرفتن عکس‌های یادگاری در کنار گردشگران,پارک,افراد محلی برای گرفتن عکس با گردشگران خارجی ابراز تمایل می‌کنند,Normal
داد زدن و فریاد کشیدن در اماکن عمومی,بیمارستان,یک فرد در حال داد زدن در راهروی بیمارستان,Taboo
توجه به تغذیه سالم,رستوران,شهروندان از مصرف غذاهای ناسالم پرهیز می کنند,Normal
اعدام محکومان جرائم خشن,میدان شهر,اجرای حکم اعدام یک محکوم,Normal
تقدیر و تشکر از زحمات کارگران خدمات شهری,خیابان شهر,کارگران در حال نظافت و خدمات رسانی در خیابان,Normal
آموزش کسب و کارهای اینترنتی در فضای مجازی,فضای مجازی,یک کارآفرین در حال راهنمایی و آموزش فعالیت های تجاری آنلاین,Expected
پوشیدن لباس محلی,چادرنشینی,یک مرد محلی در حال انجام کارهای روزانه,Expected
دستگیری از افراد نیازمند و فقیر,مسجد,مردم در حال کمک مالی و غذایی به نیازمندان,Expected
یادآوری و تبریک مناسبت های ملی و آیینی,شب یلدا,جشن شب یلدا در کنار خانواده,Expected
حفظ محیط زیست و مصرف بهینه انرژی,خانه,خانواده‌ها در حال استفاده صحیح از انرژی و صرفه‌جویی در مصرف,Normal
احترام به راهنمایان در خیابان,خیابان شهر,رانندگان در حال احترام گذاشتن و اطاعت از راهنمایان راهنمایی و رانندگی,Expected
رعایت مقررات رانندگی,چهارشنبه سوری,گروهی از جوانان در حال برگزاری جشن چهارشنبه سوری,Normal
رعایت شئونات اسلامی در آداب و رفتار,نماز جمعه,شرکت در نماز جمعه و مراسم مذهبی,Expected
اجتناب از اسراف در مصرف آب و برق,خانه,خانواده در حال استفاده بهینه از منابع و خاموش کردن وسایل غیرضروری,Expected
شوخی کردن و طنز گفتن,کافه,در یک کافه در حضور دوستان,Normal
گرفتن اجازه قبل از ورود,خانواده,یک فرد قبل از ورود به اتاق پدر و مادر,Expected
فروش و تبلیغ محصولات غیرقانونی مانند مواد مخدر در اینترنت,فضای مجازی,فروشنده در حال تبلیغ مواد مخدر در یک گروه تلگرامی,Taboo
رعایت حقوق معلولان و سالمندان در اماکن عمومی,پارک,معلولان و سالمندان در حال تفریح در پارک,Expected
پوشیدن لباس متناسب با شئون اسلامی,دانشگاه,دانشجویان در حال تردد در محوطه دانشگاه,Expected
احترام به قوانین و مقررات ترافیکی,خیابان شهر,رانندگان و عابران پیاده در حال تردد در خیابان,Expected
دادن انعام به خدمتگزاران,رستوران,مشتری پس از صرف غذا به پیشخدمت انعام می دهد,Normal
انجام خدمات داوطلبانه برای جامعه,مراکز خدمات اجتماعی,داوطلبان در حال انجام خدمات رایگان برای اقشار آسیب‌پذیر,Expected
رعایت اصول برابری و عدالت در جامعه,دادگاه,قاضی و طرفین پرونده در دادگاه,Expected
پیروی از هنجارهای مرسوم در تعامل با قضات,دادگاه,حضور در جلسه دادگاه به عنوان متهم,Expected
ارج نهادن به آثار هنری در نمایشگاه ها,نمایشگاه هنری,بازدیدکنندگان در حال تماشای آثار هنری,Expected
آواز خواندن در حضور عموم,مترو,در محیط شلوغ و پر ازدحام مترو,Taboo
استفاده از زبان فارسی در مکاتبات رسمی دولتی,اداره دولتی,کارمندان در حال استفاده از زبان فارسی در مکاتبات رسمی,Expected
سفر خارجی بدون اجازه شوهر برای زنان,فرودگاه,یک زن در حال مسافرت به خارج بدون اجازه همسرش,Taboo
دسترسی آزاد به تمام منابع اطلاعاتی در اینترنت بدون محدودیت,فضای مجازی,محقق در حال جستجوی اطلاعات برای پروژه تحقیقاتی در اینترنت بدون برخورد با فیلترینگ,Normal
بازدید از آثار تاریخی و باستانی,موزه,در یک موزه و مرکز فرهنگی,Normal
تعارفات مکرر به میهمانان,منزل,میزبان در حال اصرار مکرر به پذیرایی از میهمانان,Expected
قبول تعارف پس از اصرار میزبان,ضیافت شام,میهمان در حال قبول تعارف پس از اصرار,Expected
پوشیدن لباس متناسب با شئون اسلامی,دانشگاه,دانشجویان در حال تردد در محوطه دانشگاه,Expected
پاسخ دادن به احترامات از سوی افراد مسن تر,حمل و نقل عمومی,فرد جوان در حال سوار شدن به اتوبوس,Expected
مراقبت از اطرافیان,حمل و نقل عمومی,مسافری که به یک مادر باردار کمک می کند,Expected
بی احترامی و رفتار نامناسب با سالمندان,خیابان شهر,جوانی به یک سالمند کهنسال بی احترامی می کند,Taboo
پوشیدن حجاب برای زنان در مکان های عمومی,خیابان شهر,برای زنان مسلمان در هنگام حضور در خیابان و اماکن عمومی,Normal
استفاده از کلمات زشت و رکیک,صف نانوایی,یک نفر در حال استفاده از الفاظ رکیک در صف نانوایی,Taboo
احتراز از روابط نامشروع با جنس مخالف,دانشگاه,دانشجویان دختر و پسر در محیط دانشگاه,Expected
پرهیز از رابطه نامشروع بین زن و مرد غیرمتأهل,پارک,برای یک زوج جوان مجرد در پارک,Normal
ادب و احترام در گفتار,اداره دولتی,ارباب رجوع و کارمندان با احترام رفتار می کنند,Expected
چانه زنی هنگام خرید,فروشگاه,مشتریان درخواست تخفیف و چانه زنی میکنند. ,Normal
تقسیم عادلانه سهم از محصول بین کشاورزان,جشن برداشت زعفران,کشاورزان در حال بحث در مورد تقسیم سهام,Normal
از مردان انتظار می رود که موقعیت های بهتر شغلی را نسبت به زنان داشته باشند,محل کار,چندین زن و مرد در حال مصاحبه شغلی,Expected
جعل هویت در فضای مجازی,فضای مجازی,فردی در حال ایجاد حساب کاربری جعلی با هدف کلاهبرداری,Taboo
تظاهرات مسالمت آمیز برای حقوق زنان,خیابان شهر,گروهی از زنان در حال تظاهرات مسالمت آمیز,Normal
قرار ملاقات دختر و پسر غیرمحرم در روستا,روستا,یک دختر و پسر غیرمحرم در حال قرار ملاقات در روستا,Taboo
صرف زمان زیاد برای تماشای تلویزیون,خانه,اعضای خانواده در حال گذراندن ساعات طولانی برای تماشای تلویزیون,Expected
اهانت به مراسم عزاداری محرم در فضای مجازی,فضای مجازی,کاربران در فضای مجازی,Taboo
رعایت آداب سفره و پذیرایی از میهمان,مهمانی خانوادگی,میزبان با گرامی داشتن سنت های ایرانی از مهمانان پذیرایی می کند,Normal
آموزش صنایع دستی سنتی به گردشگران,کارگاه صنایع دستی,آموزش هنرهای سنتی در کارگاه های روستایی,Normal
رعایت سکوت و احترام در آرامگاه شهدا,آرامگاه شهدا,گروهی از بازدیدکنندگان در حال زیارت,Expected
دعوت از دوستان به مهمانی شب یلدا,مهمانی خانوادگی,فامیل و دوستان نزدیک دعوت می شوند,Normal
پناه دادن به میهمانان و مسافران,مسافرخانه,یک مسافر در حال ورود به یک مسافرخانه سنتی,Expected
انتخاب لباس و پوشش متناسب با شرایط آب و هوایی,تفریح در ییلاق,سفر تفریحی به ییلاق و مناطق کوهستانی,Normal
رقص و آوازخوانی در محیط مناسب,جشن عروسی,در یک مراسم عروسی و جشن,Normal
تجاوز و آزار جنسی در اماکن خلوت,پارک,توسط افراد شرور در نقاط دورافتاده یک پارک,Taboo
رعایت حقوق همسایگان,خانواده,همسایگان در حال تعامل با یکدیگر,Expected
افشای اسرار خصوصی در فضای مجازی,فضای مجازی,کاربری در حال انتشار اطلاعات خصوصی دیگران در اینترنت,Taboo
توهین به مقدسات مذهبی,حرم امام رضا,یک فرد در حال توهین به امام رضا در حرم ایشان,Taboo
حمایت از تولیدات داخلی و ملی,بازار,مشتریان در حال خرید محصولات ایرانی به جای کالاهای خارجی,Normal
خودداری از سیگار کشیدن در اماکن عمومی سرپوشیده,سینما,فردی در حال سیگار کشیدن در سالن سینما,Expected
دوری از قضاوت و سرزنش دیگران,کافه,گروهی از دوستان در حال گپ زدن بدون قضاوت دیگران,Normal
خودداری از ایجاد آلودگی صوتی و محیطی,پارک,گردشگران ضمن حفظ محیط از ایجاد سروصدا نیز پرهیز می کنند,Expected
پرسه زدن,کتابخانه,افرادی در حال پرسه زدن در کتابخانه,Taboo
خوشرویی و گشاده رویی با دیگران,بازار سنتی,برای فروشندگان و خریداران در بازارهای سنتی,Expected
احترام به میزبان با پذیرفتن پذیرایی,خانه مادربزرگ,نوه در خانه مادربزرگ,Expected
رعایت ترتیب و نوبت در صف,فروشگاه,مشتریان بدون توجه به نوبت در صف می ایستند,Taboo
رانندگی بدون گواهینامه,خیابان شهر,یک فرد در حال رانندگی بدون مدرک گواهینامه,Taboo
پوشیدن لباس‌های نامتعارف,مسجد,یک زن در حال عبور از مسجد,Taboo
انتشار محتوای مرتبط با رابطه جنسی یا لخت,فضای مجازی,کاربران در فضای مجازی,Taboo
اهمیت به مطالعه و کتابخوانی,کتابخانه‌,افراد به کتاب و کتابخوانی ارج می‌نهند,Normal
استفاده از موبایل هنگام رانندگی,جاده,راننده ای در حال صحبت با موبایل هنگام رانندگی,Normal
مصرف آب میوه و نوشیدنی های بدون الکل,مرکز خرید,در یک مرکز خرید در حین خرید,Normal
خوردن سیر خام در مراسم سنتی,مراسم سنتی,در برخی مراسم سنتی، سیر خام خورده می شود,Normal
معرفی و تبلیغ آثار فرهنگی و هنری در فضای مجازی,فضای مجازی,یک کاربر در حال معرفی یک کتاب یا اثر هنری در شبکه های اجتماعی,Expected
اهدای اعضای بدن برای پیوند و نجات جان انسان‌ها,بیمارستان,خانواده‌ها در حال اهدای اعضای بدن عزیزان فوت شده,Expected
مراقبت از اطفال,مهد کودک,مربیان مراقب کودکان هستند,Expected
خرید و فروش مشروبات الکلی,بازار,یک فروشنده در حال فروش مشروبات الکلی در بازار,Taboo
صرف افطار دسته جمعی,مراسم افطار,خانواده و دوستان دور سفره افطار,Expected
رعایت حجاب در محیط های آموزشی,دانشگاه,دانشجویان دختر در فضای دانشگاه,Expected
تعامل محترمانه و مودبانه با همکاران,جلسه اداری,کارمندان در حال گفتگو با یکدیگر,Expected
نشان دادن نشانه های عاطفی در ملا عام,خیابان شهر,زوجی در حال در آغوش گرفتن یکدیگر در خیابان,Taboo
رعایت شئون اجتماعی در مکان‌های عمومی,هتل,مسافران در حال رعایت آداب معاشرت و پوشش مناسب در محیط هتل,Expected
هدیه گرفتن,جشن تولد,میهمانان در جشن تولد,Normal
جستجوی کاملاً بدنی در بازرسی‌های امنیتی,فرودگاه,بازرسی کاملاً فیزیکی افراد در ورودی فرودگاه‌ها انجام می‌شود,Normal
دعوت از بستگان برای شرکت در روضه خوانی,مراسم روضه خوانی,جمعی از زنان در مراسم روضه خوانی,Expected
احترام به پیران و بزرگتر ها,مهمانی خانوادگی,یک جوان در حال صحبت با عموی مسن خود,Expected
آزادی بیان سیاسی در رسانه ها و مطبوعات,روزنامه,یک روزنامه نگار در حال ابراز آزادانه عقاید سیاسی,Taboo
عدم رعایت بهداشت در توزیع نذری,هیئت عزاداری,تهیه و توزیع نذری بدون رعایت اصول بهداشتی,Taboo
آواز خواندن بلند در پارک,پارک,گروهی از جوانان در حال آواز خواندن با صدای بلند در پارک,Normal
خوردن ماهی به شکل خام,مراسم سنتی,در برخی مراسم سنتی، ماهی را به شکل خام می خورند,Normal
جشن گلابگیری با لباس سنتی,روستا,مردم روستا در حال برگزاری جشن گلابگیری با لباس سنتی,Expected
پخش موسیقی بلند در فضاهای عمومی,خیابان شهر,یک گروه جوان در حال پخش موسیقی با صدای بلند در خیابان,Taboo
ریختن زباله در معابر عمومی,بوستان,گروهی در حال رها کردن زباله در فضای سبز,Taboo
رقص زنان,مسجد,زنی در حال رقصیدن در مسجد,Taboo
ازدواج های فامیلی بین اقوام نزدیک,روستا,پسر و دختری از دو شاخه یک خانواده در حال ازدواج,Normal
احترام به نمادها و ارزش های ملی,مراسم تحلیف,مقامات حاضر در مراسم تحلیف,Expected
نواختن موسیقی سنتی,جشن عشایر قشقایی,گروهی از نوازندگان در حال نواختن موسیقی سنتی قشقایی,Expected
اظهار عقاید سیاسی انتقادی در برابر حکومت,دانشگاه,یک استاد در حال انتقاد از سیاست های حکومت,Taboo
پرهیز از آزار و اذیت دیگران در معابر عمومی,پیاده رو,عابران پیاده در حال تردد در پیاده رو,Expected
دوری از هرگونه رفتار پرخاشگرانه و توهین آمیز,مراسم تحلیف,حضور در مراسم رسمی و ملی,Expected
پاسداشت میراث معنوی و فرهنگی,موزه ها,شهروندان از آثار تاریخی و فرهنگی قدردانی می کنند,Normal
خوش رفتاری و ادب,زندگی روزمره,افراد با خوش رفتاری و ادب برخورد می کنند,Expected
صرفه جویی در مصرف انرژی,اداره دولتی,کارکنان لوازم اداری و تجهیزات را با صرفه جویی استفاده می کنند,Normal
تعارف کردن ولی عدم اجبار برای پذیرش,عروسی,میزبان در حال تعارف غذا یا نوشیدنی,Expected
رعایت فاصله مناسب در گفتگوها,جلسه اداری,همکاران در محل کار,Normal
حمایت از حیوانات بی‌پناه,پارک,افراد در حال نگهداری از حیوانات بی‌پناه و تأمین غذای آن‌ها,Expected
گریه و زاری کردن برای مردگان,مراسم ترحیم,اقوام و بستگان در حال گریه کردن در مراسم ترحیم,Expected
تشکیل انجمن ها و سازمان های غیردولتی مستقل,محل انجمن,اعضای انجمن در حال برگزاری جلسات بدون نظارت دولت,Normal
پرهیز از رفتارهای زننده در جشن ها,جشن تولد,گروهی از دوستان در یک جشن تولد,Normal
هتک حرمت و توهین به ادیان الهی,مسجد,یک فرد در حال توهین به ادیان الهی در مسجد,Taboo
پذیرفتن تغییر پوشش مناسب,حرم,یک زن جوان در حال بازدید از حرم امام رضا (ع),Expected
شرکت در مراسم مذهبی با پوشش نامناسب,حسینیه,یک فرد با لباس نامناسب در حال حضور در یک مراسم مذهبی در حسینیه,Taboo
پوشیدن لباس های نامناسب در اماکن عمومی,دانشگاه,دانشجویی با پوشش غیرمتعارف در محوطه دانشگاه حضور دارد,Taboo
عدم پوشش مناسب و لباس های نامتعارف,مسجد,توسط زنان در هنگام ورود به مسجد,Taboo
سادگی و زهد,مراسم عزاداری,مداحان بدون تجمل در حال روضه خوانی,Expected
پذیرایی با آداب و احترام از مهمانان,ضیافت شام,میزبانی مهمانی شام برای دوستان,Expected
استفاده از لباس های پوشیده و متحدالشکل برای دانش آموزان,مدرسه,برای دانش آموزان دختر و پسر در محیط مدرسه,Normal
پرداخت نذری و صدقه به نیازمندان,مراسم روضه خوانی,حضور در مجالس مذهبی و ارادت به ائمه,Expected
استفاده از رنگ های تیره در پوشش,خیابان شهر,یک زن میانسال با لباس مشکی رنگ در حال قدم زدن,Expected
عدم رعایت حریم خصوصی دیگران,فضای مجازی,فردی در حال انتشار تصاویر خصوصی افراد دیگر,Taboo
اظهار علاقه عاطفی در ملأ عام,پارک,زوجی در حال راه رفتن و در آغوش گرفتن یکدیگر,Taboo
رعایت آداب معاشرت در محیط کار,محل کار,همکاران با رعایت احترام متقابل با یکدیگر رفتار می کنند,Expected
بوسیدن دست بزرگترها در لحظه تحویل سال,خانه,فردی که دست بزرگترها را در آغاز سال نو می‌بوسد,Normal
روزه گرفتن برای افراد سالم در ماه رمضان,خانه,یک فرد مسلمان سالم در خانه خود در روز در ماه رمضان,Expected
شرکت در دسته های عزاداری,مسجد,گروهی از مردان در حال برگزاری مراسم سینه زنی,Expected
حفظ آرامش در کنسرت موسیقی,کنسرت موسیقی,تماشاگران در حال رعایت آرامش و ادب در یک کنسرت موسیقی,Expected
حفاظت از محیط زیست و طبیعت,پارک,برای گردشگران و بازدیدکنندگان در پارک های ملی,Expected
ارائه خدمات جنسی در ازای پول,خیابان شهر,یک روسپی در حال ارائه خدمات جنسی در خیابان,Taboo
انتشار محتوای مضر در فضای مجازی,فضای مجازی,یک کاربر در حال انتشار محتوای خشونت‌آمیز در فضای مجازی,Taboo
پوشیدن لباس های مجلسی و رنگارنگ,مهمانی,جشن و مراسم,Expected
توجه به معماری و شهرسازی اسلامی,مناطق و بناهای تاریخی,شهروندان به معماری ایرانی-اسلامی ارزش می‌نهند,Normal
آزار و اذیت زنان و کودکان در معابر عمومی,خیابان شهر,توسط افراد شرور در خیابان های شهر,Taboo
تنبیه بدنی دانش آموزان در مدرسه,مدرسه,یک معلم در حال تنبیه بدنی یک دانش آموز در محیط مدرسه,Taboo
حرمت نهادن به اوقات فراغت,فضاهای تفریحی,شهروندان از تفریحات سالم استقبال می کنند,Normal
دست دادن آزادانه زن و مرد,خیابان شهر,یک زن و مرد غریبه در حال دست دادن در خیابان,Taboo
رعایت حقوق مالکیت معنوی,فضای مجازی,کاربران در حال تعامل در فضای آنلاین,Expected
اهمیت به سلامت روانی و جسمی,باشگاه ورزشی,افراد به ورزش و تندرستی اهمیت می دهند,Normal
